"home_team","away_team","home_score","home_xg","home_penalty","away_score","away_xg","away_penalty","home_manager","home_captain","away_manager","away_captain","home_goals","away_goals","Attendance","Venue","Officials","Date","Score","Referee","Notes","Round","Host","Year"
"Argentina","Netherlands",3,NA,NA,1,NA,NA,"Cesar Luis Menotti","Daniel Passarella","Ernst Happel","Ruud Krol","Mario Kempes · 38|Mario Kempes · 105|Daniel Bertoni · 115","Dick Nanninga · 82",71483,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires","Sergio Gonella (Referee) · Ramon Barreto Ruiz (AR1) · Erich Linemayr (AR2)",1978-06-25,"3–1","Sergio Gonella","Required Extra Time","Final","Argentina",1978
"Brazil","Italy",2,NA,NA,1,NA,NA,"Claudio Coutinho","Émerson Leão","Enzo Bearzot","Dino Zoff","Nelinho · 64|Dirceu · 72","Franco Causio · 38",69659,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires","Abraham Klein (Referee) · Alfonso Gonzalez Archundia (AR1) · Karoly Palotai (AR2)",1978-06-24,"2–1","Abraham Klein",NA,"Third-place match","Argentina",1978
"Netherlands","Italy",2,NA,NA,1,NA,NA,"Ernst Happel","Ruud Krol","Enzo Bearzot","Dino Zoff","Ernie Brandts · 50|Arie Haan · 75","Ernie Brandts (OG) · 18",67433,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires","Angel Martinez (Referee) · Luis Pestarino (AR1) · Cesar Orozco Guerrero (AR2)",1978-06-21,"2–1","Angel Martinez",NA,"Second round","Argentina",1978
"Austria","West Germany",3,NA,NA,2,NA,NA,"Helmut Senekowitsch","Robert Sara","Helmut Schoen","Berti Vogts","Berti Vogts (OG) · 59|Hans Krankl · 66|Hans Krankl · 87","Karl-Heinz Rummenigge · 19|Bernd Hölzenbein · 68",38318,"Estadio Olï¿½mpico Chateau Carreras, Cordoba","Abraham Klein (Referee) · Alojzy Jarguz (AR1) · Antonio Garrido (AR2)",1978-06-21,"3–2","Abraham Klein",NA,"Second round","Argentina",1978
"Brazil","Poland",3,NA,NA,1,NA,NA,"Claudio Coutinho","Émerson Leão","Jacek Gmoch","Kazimierz Deyna","Nelinho · 12|Roberto Dinamite · 57|Roberto Dinamite · 63","Grzegorz Lato · 45",39586,"San Martin, Mendoza","Juan Silvagno Cavanna (Referee) · Anatoly Ivanov (AR1) · Alfonso Gonzalez Archundia (AR2)",1978-06-21,"3–1","Juan Silvagno Cavanna",NA,"Second round","Argentina",1978
"Argentina","Peru",6,NA,NA,0,NA,NA,"Cesar Luis Menotti","Daniel Passarella","Marcos Calderon","Héctor Chumpitaz","Mario Kempes · 21|Alberto Tarantini · 43|Mario Kempes · 48|Leopoldo Luque · 50|René Houseman · 67|Leopoldo Luque · 72",NA,37315,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario","Robert Wurtz (Referee) · Ferdinand Biwersi (AR1) · Sergio Gonella (AR2)",1978-06-21,"6–0","Robert Wurtz",NA,"Second round","Argentina",1978
"Poland","Peru",1,NA,NA,0,NA,NA,"Jacek Gmoch","Kazimierz Deyna","Marcos Calderon","Héctor Chumpitaz","Andrzej Szarmach · 65",NA,35288,"San Martin, Mendoza","Pat Partridge (Referee) · Thomas Clive (AR1) · Charles Corver (AR2)",1978-06-18,"1–0","Pat Partridge",NA,"Second round","Argentina",1978
"West Germany","Netherlands",2,NA,NA,2,NA,NA,"Helmut Schoen","Berti Vogts","Ernst Happel","Ruud Krol","Rüdiger Abramczik · 3|Dieter Müller · 70","Arie Haan · 27|René van de Kerkhof · 84|Dick Nanninga · 88",40750,"Estadio Olï¿½mpico Chateau Carreras, Cordoba","Ramon Barreto Ruiz (Referee) · Miguel Comesana (AR1) · Arnaldo Coelho (AR2)",1978-06-18,"2–2","Ramon Barreto Ruiz",NA,"Second round","Argentina",1978
"Italy","Austria",1,NA,NA,0,NA,NA,"Enzo Bearzot","Dino Zoff","Helmut Senekowitsch","Robert Sara","Paolo Rossi · 14",NA,66695,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires","Francis Rion (Referee) · Norberto Angel Coerezza (AR1) · Youssou Ndiaye (AR2)",1978-06-18,"1–0","Francis Rion",NA,"Second round","Argentina",1978
"Argentina","Brazil",0,NA,NA,0,NA,NA,"Cesar Luis Menotti","Daniel Passarella","Claudio Coutinho","Émerson Leão",NA,NA,37326,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario","Karoly Palotai (Referee) · Erich Linemayr (AR1) · Adolf Prokop (AR2)",1978-06-18,"0–0","Karoly Palotai",NA,"Second round","Argentina",1978
